ID_DEPARTAMENTO|DEPARTAMENTO|PUNTAJE_PROMEDIO|ERRORESTANDARPROMEDIO|DESVIACION|PORCENTAJE_INSUFICIENTE|PORCENTAJE_MINIMO|PORCENTAJE_SATISFACTORIO|PORCENTAJE_AVANZADO|N
00|Todos los departamentos|301.0|0.167|53.0|16.0|48.0|26.0|10.0|654254
8|Arauca|305.0|0.204|56.0|14.0|47.0|29.0|10.0|5284
77|Vaupés|272.0|0.714|47.0|28.0|55.0|14.0|3.0|483
152|Nariño|307.0|0.102|49.0|14.0|45.0|30.0|11.0|23061
147|Magdalena|289.0|0.102|52.0|21.0|51.0|22.0|7.0|25030
115|Boyacá|328.0|0.051|59.0|8.0|38.0|34.0|20.0|21507
120|Cesar|301.0|0.102|54.0|16.0|49.0|26.0|10.0|22741
154|Norte de Santander|315.0|0.102|57.0|11.0|43.0|31.0|14.0|25466
168|Santander|325.0|0.051|59.0|10.0|39.0|33.0|19.0|35288
163|Quindio|317.0|0.204|59.0|11.0|42.0|31.0|16.0|7090
141|Huila|312.0|0.102|56.0|11.0|46.0|31.0|12.0|20535
150|Meta|316.0|0.102|57.0|11.0|44.0|31.0|15.0|17849
119|Cauca|298.0|0.102|51.0|16.0|50.0|26.0|8.0|22714
166|Risaralda|316.0|0.102|56.0|11.0|43.0|31.0|15.0|13508
108|Atlántico|312.0|0.051|54.0|14.0|43.0|28.0|15.0|38731
123|Córdoba|292.0|0.051|52.0|19.0|51.0|23.0|7.0|33618
117|Caldas|319.0|0.102|56.0|9.0|43.0|34.0|15.0|12651
170|Sucre|293.0|0.102|52.0|19.0|50.0|23.0|7.0|16924
125|Cundinamarca|326.0|0.051|58.0|9.0|38.0|34.0|19.0|46358
173|Tolima|308.0|0.102|55.0|13.0|46.0|29.0|12.0|22849
144|La Guajira|277.0|0.102|49.0|27.0|52.0|17.0|5.0|17187
185|Casanare|311.0|0.153|57.0|12.0|46.0|30.0|13.0|7787
176|Valle del Cauca|313.0|0.051|56.0|13.0|44.0|29.0|14.0|54080
118|Caquetá|298.0|0.153|52.0|15.0|51.0|27.0|7.0|7942
105|Antioquia|308.0|0.051|56.0|14.0|46.0|28.0|13.0|95500
113|Bolívar|291.0|0.051|53.0|21.0|50.0|21.0|8.0|37997
127|Chocó|277.0|0.153|48.0|26.0|53.0|17.0|4.0|9273
59|San Andrés|290.0|0.459|53.0|21.0|51.0|21.0|8.0|894
1|Amazonas|280.0|0.408|50.0|24.0|55.0|17.0|5.0|1560
38|Guainía|272.0|0.357|46.0|27.0|58.0|14.0|2.0|863
39|Guaviare|294.0|0.357|51.0|16.0|54.0|24.0|6.0|1486
53|Putumayo|298.0|0.153|54.0|15.0|52.0|26.0|8.0|6514
78|Vichada|276.0|0.408|47.0|27.0|53.0|17.0|3.0|1484
