ID_DEPARTAMENTO|DEPARTAMENTO|PUNTAJE_PROMEDIO|ERRORESTANDARPROMEDIO|DESVIACION|PORCENTAJE_INSUFICIENTE|PORCENTAJE_MINIMO|PORCENTAJE_SATISFACTORIO|PORCENTAJE_AVANZADO|N
53|Putumayo|293|0,153|57|45|32|15|8|6506
78|Vichada|268|0,408|49|62|26|9|3|1484
08|Arauca|301|0,204|59|39|33|18|11|5284
77|Vaupés|254|0,663|47|74|19|4|2|483
152|Nariño|294|0,102|53|45|29|16|10|23070
147|Magdalena|276|0,102|55|57|25|11|6|25023
115|Boyacá|325|0,102|63|27|31|22|20|21509
120|Cesar|290|0,102|57|50|27|13|10|22857
154|Norte de Santande|309|0,102|61|36|31|19|14|25478
168|Santander|317|0,051|63|32|31|20|18|35270
163|Quindio|303|0,204|61|39|32|17|12|7094
141|Huila|303|0,102|58|38|33|18|11|20506
150|Meta|309|0,102|61|36|32|18|14|17837
119|Cauca|286|0,102|55|49|30|13|8|22725
166|Risaralda|301|0,102|59|40|31|17|11|13506
108|Atlántico|298|0,051|57|44|29|15|12|38747
123|Córdoba|280|0,051|55|55|27|12|7|33628
117|Caldas|305|0,102|60|36|33|18|12|12610
170|Sucre|282|0,102|55|53|27|12|7|16917
125|Cundinamarca|315|0,051|61|32|32|20|16|46347
173|Tolima|299|0,102|58|42|31|17|11|22868
144|La Guajira|263|0,153|51|66|22|8|4|17236
185|Casanare|305|0,153|62|38|32|18|12|7784
176|Valle del Cauca|294|0,051|58|46|28|15|11|54104
118|Caquetá|290|0,153|56|46|33|14|8|7930
105|Antioquia|290|0,051|58|48|29|14|9|95559
113|Bolívar|277|0,051|56|57|25|11|7|37989
127|Chocó|267|0,153|54|64|22|9|5|9209
59|San Andrés|267|0,51|55|64|24|7|5|894
01|Amazonas|262|0,357|49|68|22|6|3|1560
38|Guainía|254|0,357|48|72|21|5|2|863
39|Guaviare|287|0,357|57|49|31|13|8|1489
