ID_DEPARTAMENTO|DEPARTAMENTO|PUNTAJE_PROMEDIO|ERRORESTANDARPROMEDIO|DESVIACION|PORCENTAJE_INSUFICIENTE|PORCENTAJE_MINIMO|PORCENTAJE_SATISFACTORIO|PORCENTAJE_AVANZADO|N
00|Todos los departamentos|290.0|0.169|56.0|48.0|28.0|14.0|9.0|654366
53|Putumayo|293.0|0.153|57.0|45.0|32.0|15.0|8.0|6506
78|Vichada|268.0|0.408|49.0|62.0|26.0|9.0|3.0|1484
8|Arauca|301.0|0.204|59.0|39.0|33.0|18.0|11.0|5284
77|Vaupés|254.0|0.663|47.0|74.0|19.0|4.0|2.0|483
152|Nariño|294.0|0.102|53.0|45.0|29.0|16.0|10.0|23070
147|Magdalena|276.0|0.102|55.0|57.0|25.0|11.0|6.0|25023
115|Boyacá|325.0|0.102|63.0|27.0|31.0|22.0|20.0|21509
120|Cesar|290.0|0.102|57.0|50.0|27.0|13.0|10.0|22857
154|Norte de Santande|309.0|0.102|61.0|36.0|31.0|19.0|14.0|25478
168|Santander|317.0|0.051|63.0|32.0|31.0|20.0|18.0|35270
163|Quindio|303.0|0.204|61.0|39.0|32.0|17.0|12.0|7094
141|Huila|303.0|0.102|58.0|38.0|33.0|18.0|11.0|20506
150|Meta|309.0|0.102|61.0|36.0|32.0|18.0|14.0|17837
119|Cauca|286.0|0.102|55.0|49.0|30.0|13.0|8.0|22725
166|Risaralda|301.0|0.102|59.0|40.0|31.0|17.0|11.0|13506
108|Atlántico|298.0|0.051|57.0|44.0|29.0|15.0|12.0|38747
123|Córdoba|280.0|0.051|55.0|55.0|27.0|12.0|7.0|33628
117|Caldas|305.0|0.102|60.0|36.0|33.0|18.0|12.0|12610
170|Sucre|282.0|0.102|55.0|53.0|27.0|12.0|7.0|16917
125|Cundinamarca|315.0|0.051|61.0|32.0|32.0|20.0|16.0|46347
173|Tolima|299.0|0.102|58.0|42.0|31.0|17.0|11.0|22868
144|La Guajira|263.0|0.153|51.0|66.0|22.0|8.0|4.0|17236
185|Casanare|305.0|0.153|62.0|38.0|32.0|18.0|12.0|7784
176|Valle del Cauca|294.0|0.051|58.0|46.0|28.0|15.0|11.0|54104
118|Caquetá|290.0|0.153|56.0|46.0|33.0|14.0|8.0|7930
105|Antioquia|290.0|0.051|58.0|48.0|29.0|14.0|9.0|95559
113|Bolívar|277.0|0.051|56.0|57.0|25.0|11.0|7.0|37989
127|Chocó|267.0|0.153|54.0|64.0|22.0|9.0|5.0|9209
59|San Andrés|267.0|0.51|55.0|64.0|24.0|7.0|5.0|894
1|Amazonas|262.0|0.357|49.0|68.0|22.0|6.0|3.0|1560
38|Guainía|254.0|0.357|48.0|72.0|21.0|5.0|2.0|863
39|Guaviare|287.0|0.357|57.0|49.0|31.0|13.0|8.0|1489
