ID_ENTIDAD|ENTIDAD|PUNTAJE_PROMEDIO|ERRORESTANDARPROMEDIO|DESVIACION|PORCENTAJE_INSUFICIENTE|PORCENTAJE_MINIMO|PORCENTAJE_SATISFACTORIO|PORCENTAJE_AVANZADO|N
06|Itagüí|322|0,255|58|11|39|31|19|3103
84|Pitalito|313|0,255|58|10|47|33|11|2632
08|Arauca|305|0,204|56|14|47|29|10|5284
60|Santa Marta|303|0,153|55|16|47|27|11|8843
32|Lorica|291|0,306|53|19|52|22|7|2144
18|Sogamoso|343|0,204|58|4|33|37|26|2236
50|Tumaco|265|0,306|45|33|54|11|2|3679
16|Tunja|345|0,153|58|6|30|35|29|3348
69|Ibagué|327|0,102|58|9|39|33|20|8439
11|Barranquilla|318|0,051|55|11|41|31|17|18882
77|Vaupés|272|0,714|47|28|55|14|3|483
22|Florencia|307|0,255|53|12|50|28|10|3167
152|Nariño|307|0,102|49|14|45|30|11|23061
147|Magdalena|289|0,102|52|21|51|22|7|25030
115|Boyacá|328|0,051|59|8|38|34|20|21507
120|Cesar|301|0,102|54|16|49|26|10|22741
154|Norte de Santander|315|0,102|57|11|43|31|14|25466
168|Santander|325|0,051|59|10|39|33|19|35288
163|Quindío|317|0,204|59|11|42|31|16|7090
141|Huila|312|0,102|56|11|46|31|12|20535
150|Meta|316|0,102|57|11|44|31|15|17849
119|Cauca|298|0,102|51|16|50|26|8|22714
166|Risaralda|316|0,102|56|11|43|31|15|13508
108|Atlántico|312|0,051|54|14|43|28|15|38731
123|Córdoba|292|0,051|52|19|51|23|7|33618
117|Caldas|319|0,102|56|9|43|34|15|12651
170|Sucre|293|0,102|52|19|50|23|7|16924
125|Cundinamarca|326|0,051|58|9|38|34|19|46358
173|Tolima|308|0,102|55|13|46|29|12|22849
144|La Guajira|277|0,102|49|27|52|17|5|17187
185|Casanare|311|0,153|57|12|46|30|13|7787
176|Valle del Cauca|313|0,051|56|13|44|29|14|54080
118|Caquetá|298|0,153|52|15|51|27|7|7942
105|Antioquia|308|0,051|56|14|46|28|13|95500
113|Bolívar|291|0,051|53|21|50|21|8|37997
127|Chocó|277|0,153|48|26|53|17|4|9273
76|Tuluá|321|0,255|57|10|41|31|18|2795
10|Soledad|322|0,102|56|11|39|30|19|8659
07|Turbo|277|0,204|50|25|55|16|4|3868
59|San Andrés|290|0,459|53|21|51|21|8|894
20|Manizales|327|0,153|59|8|39|34|19|4536
47|Villavicencio|327|0,153|59|8|38|34|19|8629
85|Sabaneta|343|0,51|59|7|30|35|28|741
01|Amazonas|280|0,408|50|24|55|17|5|1560
38|Guainía|272|0,357|46|27|58|14|2|863
49|Pasto|332|0,153|56|6|37|38|19|5532
87|Mosquera|331|0,204|57|7|37|35|21|2257
52|Cúcuta|320|0,102|59|10|42|32|17|12424
17|Duitama|350|0,153|59|5|28|36|31|2115
58|Dosquebradas|320|0,204|56|9|42|34|15|2827
67|Sincelejo|307|0,153|54|14|47|28|12|5083
82|Piedecuesta|340|0,255|59|6|33|36|25|2634
94|Yopal|316|0,204|56|10|44|31|14|2979
63|Barrancabermeja|310|0,204|59|14|44|27|15|4244
79|Quibdó|290|0,255|52|20|52|22|7|2478
39|Guaviare|294|0,357|51|16|54|24|6|1486
04|Bello|321|0,153|59|10|41|32|17|6552
75|Palmira|320|0,204|57|9|42|34|15|4047
95|Yumbo|303|0,306|56|14|47|30|9|1547
35|Fusagasugá|320|0,306|59|12|38|33|17|2060
37|Soacha|322|0,102|58|9|39|35|16|9735
90|Apartadó|290|0,255|52|18|52|23|7|2581
65|Girón|322|0,204|58|9|40|34|17|2406
28|Valledupar|311|0,153|55|13|44|29|14|8835
92|Malambo|314|0,459|51|14|41|29|16|2116
64|Floridablanca|341|0,204|60|6|32|35|27|3727
71|Cali|321|0,102|57|11|40|30|18|23710
03|Medellín|311|0,102|58|13|44|28|14|31323
86|Zipaquirá|338|0,255|57|6|35|36|24|2020
57|Pereira|323|0,153|56|10|41|32|18|6496
12|Bogotá, D.C.|334|0,051|59|8|35|35|23|98437
74|Cartago|315|0,255|58|12|43|30|15|1679
80|Uribia|255|0,306|44|39|52|7|1|3111
43|Maicao|282|0,255|50|25|51|19|5|3324
89|Facatativá|334|0,204|57|6|35|37|22|2252
33|Sahagún|304|0,255|57|14|48|28|10|1801
93|Riohacha|282|0,255|50|24|51|19|6|4293
55|Armenia|320|0,255|59|10|41|31|18|3757
53|Putumayo|298|0,153|54|15|52|26|8|6514
72|Buenaventura|287|0,204|50|21|51|21|6|5643
73|Buga|313|0,408|57|11|46|30|14|1327
88|Ipiales|320|0,204|54|9|42|33|15|2243
83|Rionegro|331|0,255|61|8|36|35|21|1822
91|Chía|340|0,255|58|8|31|34|27|2176
78|Vichada|276|0,408|47|27|53|17|3|1484
45|Ciénaga|284|0,306|51|23|51|20|6|2158
81|Jamundí|302|0,306|55|15|48|28|9|1784
31|Montería|303|0,153|55|16|47|25|12|8958
14|Magangué|282|0,255|51|23|53|20|4|2683
36|Girardot|307|0,255|55|14|45|29|12|1473
23|Cartagena|303|0,102|56|17|46|25|13|17542
05|Envigado|347|0,306|61|6|31|33|31|2020
41|Neiva|320|0,153|56|10|41|32|16|5548
62|Bucaramanga|336|0,153|59|8|34|33|25|8402
26|Popayán|322|0,204|56|9|40|36|15|4316
