ID_ENTIDAD|ENTIDAD|PUNTAJE_PROMEDIO|ERRORESTANDARPROMEDIO|DESVIACION|PORCENTAJE_INSUFICIENTE|PORCENTAJE_MINIMO|PORCENTAJE_SATISFACTORIO|PORCENTAJE_AVANZADO|N
90|Apartadó|276|0,306|55|57|27|10|5|2581
65|Girón|315|0,255|63|31|34|19|16|2406
28|Valledupar|297|0,153|58|46|27|15|13|8839
92|Malambo|301|0,561|56|44|26|15|16|2116
64|Floridablanca|329|0,204|64|26|30|22|22|3727
71|Cali|300|0,102|60|44|27|15|14|23735
03|Medellín|289|0,102|59|49|28|13|10|31323
86|Zipaquirá|330|0,255|62|25|31|21|23|2020
57|Pereira|305|0,153|59|39|31|18|13|6496
12|Bogotá, D.C.|318|0,051|62|31|31|20|18|98410
74|Cartago|300|0,255|61|42|31|16|12|1679
80|Uribia|239|0,306|46|84|12|3|1|3111
43|Maicao|269|0,255|53|61|25|10|5|3313
89|Facatativá|321|0,204|58|27|35|21|17|2252
33|Sahagún|290|0,306|59|47|31|14|8|1801
93|Riohacha|266|0,255|51|65|22|8|5|4293
55|Armenia|305|0,255|61|38|32|17|13|3757
53|Putumayo|293|0,153|57|45|32|15|8|6506
72|Buenaventura|268|0,204|51|63|23|10|4|5643
73|Buga|295|0,459|61|44|32|15|10|1327
88|Ipiales|307|0,255|58|36|33|21|11|2243
83|Rionegro|315|0,306|63|33|31|19|17|1822
91|Chía|327|0,255|61|27|30|21|21|2176
78|Vichada|268|0,408|49|62|26|9|3|1484
45|Ciénaga|275|0,306|52|58|26|11|6|2158
81|Jamundí|282|0,255|54|52|30|13|6|1784
31|Montería|289|0,153|57|49|28|14|9|8958
14|Magangué|269|0,255|55|63|24|9|4|2686
36|Girardot|291|0,255|56|46|32|14|8|1473
23|Cartagena|288|0,102|58|51|26|13|10|17542
05|Envigado|326|0,306|65|29|29|19|23|2020
41|Neiva|309|0,153|58|36|32|18|14|5548
62|Bucaramanga|325|0,153|66|28|30|20|21|8402
26|Popayán|305|0,204|59|34|36|18|12|4330
06|Itagüí|296|0,255|59|46|27|15|13|3103
84|Pitalito|302|0,255|59|38|33|19|10|2632
08|Arauca|301|0,204|59|39|33|18|11|5284
60|Santa Marta|287|0,153|56|50|28|14|8|8810
32|Lorica|284|0,306|56|52|27|13|7|2144
18|Sogamoso|328|0,204|62|23|34|23|20|2236
50|Tumaco|250|0,306|47|77|16|5|2|3666
16|Tunja|342|0,204|62|20|28|25|27|3348
69|Ibagué|315|0,102|61|32|32|21|16|8439
11|Barranquilla|303|0,102|58|40|31|17|13|18882
77|Vaupés|254|0,663|47|74|19|4|2|483
22|Florencia|295|0,255|57|44|32|15|9|3163
152|Nariño|294|0,102|53|45|29|16|10|23070
147|Magdalena|276|0,102|55|57|25|11|6|25023
115|Boyacá|325|0,102|63|27|31|22|20|21509
120|Cesar|290|0,102|57|50|27|13|10|22857
154|Norte de Santander|309|0,102|61|36|31|19|14|25478
168|Santander|317|0,051|63|32|31|20|18|35270
163|Quindio|303|0,204|61|39|32|17|12|7094
141|Huila|303|0,102|58|38|33|18|11|20506
150|Meta|309|0,102|61|36|32|18|14|17837
119|Cauca|286|0,102|55|49|30|13|8|22725
166|Risaralda|301|0,102|59|40|31|17|11|13506
108|Atlántico|298|0,051|57|44|29|15|12|38747
123|Córdoba|280|0,051|55|55|27|12|7|33628
117|Caldas|305|0,102|60|36|33|18|12|12610
170|Sucre|282|0,102|55|53|27|12|7|16917
125|Cundinamarca|315|0,051|61|32|32|20|16|46347
173|Tolima|299|0,102|58|42|31|17|11|22868
144|La Guajira|263|0,153|51|66|22|8|4|17236
185|Casanare|305|0,153|62|38|32|18|12|7784
176|Valle del Cauca|294|0,051|58|46|28|15|11|54104
118|Caquetá|290|0,153|56|46|33|14|8|7930
105|Antioquia|290|0,051|58|48|29|14|9|95559
113|Bolívar|277|0,051|56|57|25|11|7|37989
127|Chocó|267|0,153|54|64|22|9|5|9209
76|Tuluá|305|0,306|61|39|30|17|14|2793
10|Soledad|309|0,153|60|38|28|17|17|8675
07|Turbo|261|0,204|51|68|23|6|3|3868
59|San Andrés|267|0,51|55|64|24|7|5|894
20|Manizales|311|0,204|63|35|31|20|15|4539
47|Villavicencio|320|0,153|64|30|31|21|19|8629
85|Sabaneta|320|0,51|62|30|30|22|18|741
01|Amazonas|262|0,357|49|68|22|6|3|1560
38|Guainía|254|0,357|48|72|21|5|2|863
49|Pasto|314|0,153|59|31|34|21|14|5532
87|Mosquera|315|0,255|58|32|33|20|16|2257
52|Cúcuta|312|0,153|62|34|32|19|16|12424
17|Duitama|341|0,153|64|18|31|24|27|2115
58|Dosquebradas|304|0,255|60|36|34|18|12|2831
67|Sincelejo|293|0,153|58|46|29|15|10|5087
82|Piedecuesta|335|0,306|63|23|30|23|24|2606
94|Yopal|308|0,204|62|36|32|18|13|2979
63|Barrancabermeja|300|0,204|60|43|29|16|13|4263
79|Quibdó|278|0,255|58|56|26|11|7|2450
39|Guaviare|287|0,357|57|49|31|13|8|1489
04|Bello|299|0,153|60|42|31|16|11|6618
75|Palmira|304|0,204|59|38|33|17|12|4047
95|Yumbo|280|0,306|54|53|30|12|5|1547
35|Fusagasugá|307|0,306|61|38|30|19|14|2060
37|Soacha|306|0,102|59|36|34|19|12|9732
