COD_DANE|MUNI_ID|ID_ENTIDAD|NOMBRE|ZONA|SECTOR|ZONA_SECTOR|CALENDARIO|NIVEL
225799000034|25799|34|INSTITUCION EDUCATIVA DEPARTAMENTAL CARRASQUILLA|2|1|2|A|2
308001017459|08001|11|CENT.EDUC.ARQUIDIOCESANO SAN PEDRO APOSTOL|1|2|3|A|2
308638000452|08638|09|CENTRO DE EDUCACION PRE-ESCOLAR Y PRIMARIA PERSONITAS|1|2|3|A|3
320001002834|20001|28|COL. PABLO SEXTO|1|2|3|A|3
325377800008|25377|34|COL JOSE EUSTASIO RIVERA|2|2|3|A|9
170001038811|70001|67|INSTITUCION EDUCATIVA NUEVA ESPERANZA|1|1|1|A|2
354001012181|54001|52|I.E. MINUTO DE DIOS - POLICARPA SALAVARRIETA|1|2|3|A|2
385001001506|85001|94|LICEO GUSTAVO MATAMOROS LEON|1|1|1|A|4
311001105979|11001|12|GIMN MONSEÑOR MANUEL MARIA CAMARGO|1|2|3|A|4
352356000173|52356|88|INSTITUCION EDUCATIVA NACIONAL SEMINARIO|1|1|1|A|2
105360001934|05360|06|INSTITUCION EDUCATIVA MARCELIANA SALDARRIAGA|1|1|1|A|3
111001014958|11001|12|COLEGIO CLEMENCIA HOLGUIN DE URDANETA (IED)|1|1|1|A|3
288001000245|88001|59|I.E. BROOKS HILL BILINGUAL SCHOOL|2|1|2|A|2
120614000495|20614|27|INST. EDU.  NORMAL SUPERIOR|1|1|1|A|2
123162001692|23162|30|GIMN VALLE DEL SINU|1|2|3|A|3
311001090793|11001|12|CENT EDUC LOMBARDIA|1|2|3|A|3
311001100993|11001|12|COL ARCA INTERNACIONAL BILINGÜE|1|2|3|B|4
313430001769|13430|14|CENT EDUC INTEGRAL CEDI|1|2|3|A|2
320001791995|20001|28|COLEGIO ANGELES DE VIDA|1|2|3|A|3
368547000568|68547|82|COLEGIO DE LA PRESENTACION|1|2|3|A|3
376001032038|76001|71|COLEGIO EMPRESARIAL MODERNO|1|2|3|A|2
176001028872|76001|71|INSTITUCION EDUCATIVA TECNICO INDUSTRIAL CARLOS HOLGUIN MALLARINO|1|1|1|A|2
108758000546|08758|10|INSTITUCION EDUCATIVA TECNICO INDUSTRIAL BLAS TORRES DE LA TORRE|1|1|1|A|3
217662002355|17662|19|INSTITUCION EDUCATIVA EL BOSQUE|2|1|2|A|1
119001004066|19001|26|CESAR NEGRET|1|1|1|A|2
286573004441|86573|53|CENTRO ETNOEDUCATIVO RURAL INDIGENA EÑO MONAYA JITO|2|1|2|A|1
176275000915|76275|70|IE CIUDAD FLORIDA|1|1|1|A|2
176823000333|76823|70|IE  TECNICA AGROPECUARIA TORO|1|1|1|A|2
205051002467|05051|02|I. E. R. BAJO LA ARENOSA|2|1|2|A|1
313001013333|13001|23|GIMN. FUTURO DE COLOMBIA|1|2|3|A|3
252250001257|52250|48|CENTRO EDUCATIVO PUEBLO NUEVO|2|1|2|A|9
219824000265|19824|25|INSTITUCION EDUCATIVA AGROFORESTAL SAN JUAN DE QUINTANA|2|1|2|A|1
425290001731|25290|35|LIC MODERNO GRAN COLOMBIANO|1|2|3|A|3
276890000091|76890|70|IE GABRIELA MISTRAL|2|1|2|A|2
315001003555|15001|16|COLEGIO DE COMFABOY.|1|2|3|A|3
252317000111|52317|48|CENTRO EDUCATIVO CHAPUD|2|1|2|A|1
252381000302|52381|48|CENTRO EDUCATIVO PANCHINDO|2|1|2|A|1
252786000482|52786|48|CENTRO EDUCATIVO  CHAPUNGO|2|1|2|A|1
323001006651|23001|31|CENT DE ENSEÑANZA PRECOZ LIC VALDERRAMA|1|2|3|A|3
347001000811|47001|60|COLEGIO MIXTO 20 DE JULIO|1|2|3|A|2
352250000514|52250|48|I.E. NUESTRA SEÑORA DEL CARMEN|1|1|1|A|2
370001002106|70001|67|CENTRO DOCENTE EUCARISTICO (ANTES COLEGIO EUCARISTICO)|1|2|3|A|3
420001000097|20570|27|INST. EDU. INSTITUTO AGRICOLA|1|1|1|A|2
305212000057|05212|02|COLEGIO COOPERATIVO JUAN DEL CORRAL|1|2|3|A|4
