COD_DANE|EVALUADOS|PARTICIPANTES|COPIA|PESO|PROMEDIO|ERROR_ESTANDAR|DESVIACION|INSUFICIENTE|MINIMO|SATISFACTORIO|AVANZADO
105001000141|40|40|0|39|311|2,29592|54|8|46|41|5
105001000809|87|87|1|87|296|0,91837|58|16|52|25|7
105001000876|89|89|0|88|309|0,71429|62|14|44|30|13
105001001155|127|127|0|124|309|0|56|11|49|31|10
105001001252|124|124|0|124|308|0|67|15|45|25|15
105001002119|237|237|1|237|320|1,07143|60|8|44|33|15
105001001660|72|72|0|72|291|2,2449|52|11|63|21|6
105001001881|220|220|1|220|316|0,45918|56|6|51|29|14
105001002011|198|198|0|195|306|0,96939|63|13|48|28|10
105001002461|81|81|0|80|338|0,76531|61|6|28|44|23
105001002976|110|110|1|107|293|0|52|12|57|25|6
105001002135|189|189|1|189|279|0,56122|51|22|60|14|4
105001005339|156|156|0|156|306|2,39796|58|10|51|30|8
105001006556|82|82|0|82|315|1,68367|59|11|39|38|12
105001006718|212|212|0|211|300|0,71429|55|11|54|28|7
105001006092|112|112|0|109|321|1,47959|56|9|34|46|11
105001007421|76|76|1|76|311|0|52|11|49|32|9
105001007978|58|58|0|58|302|2,39796|49|10|53|33|3
105001008150|99|99|0|97|304|1,9898|61|14|49|24|13
105001008249|80|80|0|80|285|1,37755|51|24|55|18|4
105001011070|211|211|0|211|289|1,78571|56|19|54|22|5
105001011461|72|72|0|71|296|0|58|17|51|24|9
105001011690|132|132|1|132|284|1,63265|55|18|59|18|5
105001013447|62|62|0|62|293|1,47959|55|16|50|27|7
105001014052|143|143|0|143|272|1,78571|45|29|55|16|1
105001015091|78|78|0|77|271|0,76531|61|29|56|10|5
105001014851|92|92|0|88|326|0|66|8|40|34|18
105001019143|86|86|0|86|310|1,17347|52|11|52|30|7
105001019674|88|88|0|88|307|2,04082|63|16|40|32|13
105001025992|114|114|0|113|285|2,09184|59|21|56|17|6
205001007735|29|29|0|29|296|0|47|7|59|31|3
305001000000|27|27|0|25|344|0|61|8|24|48|20
205001009916|35|35|0|33|292|2,09184|50|24|39|36|0
205001019989|98|98|1|98|298|1,47959|58|11|59|20|9
305001019541|130|130|0|130|310|1,07143|54|12|46|35|8
305001025819|8|8|0|7|353|0|54|0|14|57|29
305001004633|63|63|0|63|395|1,02041|63|2|13|27|59
305001019975|33|33|0|33|338|2,14286|71|9|33|27|30
305001026335|22|22|0|17|308|0|67|12|41|35|12
305001020281|4|4|0|4|282|0|57|25|50|25|0
305001015716|56|56|0|56|354|1,47959|60|4|25|39|32
305001016003|18|18|0|17|344|8,36735|91|12|35|18|35
305001022135|64|64|1|59|328|5,05102|70|12|36|27|25
305001003734|95|95|0|95|362|1,22449|59|4|20|39|37
305001003904|10|10|0|10|332|0|69|20|20|40|20
305001005265|10|10|0|10|362|8,11224|63|0|30|30|40
305001003955|76|76|0|76|433|0,76531|58|0|4|16|80
305001005907|46|46|0|46|356|1,73469|58|0|35|24|41
305001016984|48|48|0|48|303|0|45|8|56|29|6
305001005991|10|10|0|10|413|0|62|0|10|20|70
305001004501|52|52|0|47|359|1,17347|60|0|28|43|30
305001004528|85|85|0|84|327|0,66327|56|5|45|27|23
305001010358|24|24|0|24|325|0|50|4|38|46|13
105088000273|134|134|0|134|337|1,37755|66|5|40|33|23
105042000732|105|105|0|103|289|1,37755|53|21|53|20|5
105088000338|180|180|1|174|280|1,07143|46|23|56|18|2
105051000508|130|130|0|130|315|0|58|9|44|35|13
205030000189|28|28|1|27|347|1,73469|61|4|33|33|30
205051000090|28|28|1|28|299|3,31633|50|11|54|32|4
105088000486|85|85|0|84|316|0|54|8|42|39|11
205051001347|52|52|0|50|288|2,14286|46|14|64|20|2
105088001521|302|302|1|301|282|0,30612|51|20|58|17|5
105045000148|138|138|1|136|292|0,56122|53|13|60|22|5
205031000191|50|50|0|46|309|2,2449|56|13|41|39|7
205051002696|43|43|0|2|309|1,22449|10|0|100|0|0
105088000532|102|102|0|102|305|1,78571|63|13|49|25|14
105055000022|74|74|0|74|292|1,22449|52|16|54|24|5
105045001454|140|140|0|134|306|0,61224|58|10|51|28|12
205059000072|14|14|0|14|276|0|36|14|79|7|0
205034000078|21|21|0|21|309|0|51|14|48|29|10
205034000299|25|25|0|25|304|5,45918|49|8|56|24|12
205034001317|54|54|0|54|306|1,02041|56|15|46|33|6
105088002641|72|72|0|72|332|1,73469|63|8|33|39|19
105088001512|179|179|0|179|313|0,86735|64|15|37|36|13
205036000083|31|31|0|31|304|0|58|23|32|32|13
205045000576|46|46|0|45|292|4,23469|49|13|53|33|0
205038000161|27|27|0|27|288|1,42857|49|11|67|15|7
305138000015|30|30|0|28|294|0|50|18|54|21|7
105145000145|51|51|0|50|305|1,32653|68|16|44|26|14
305088001945|77|77|1|77|293|1,12245|61|14|60|20|7
305088001961|72|72|1|72|379|0,66327|54|0|17|31|53
105147000738|37|37|1|37|272|1,93878|45|30|49|22|0
105129000089|39|39|0|38|338|1,9898|58|5|29|47|18
205147000597|28|28|0|28|293|0|44|11|61|29|0
405088020693|82|82|1|79|290|1,17347|56|19|48|27|6
105148000308|262|262|1|262|323|0,96939|55|7|38|43|13
205088000430|42|42|0|42|330|3,26531|63|7|41|33|19
105101000571|70|70|0|70|304|3,26531|63|11|47|31|10
305088000256|115|115|0|113|370|1,42857|75|5|18|36|41
205138000142|35|35|0|35|297|3,36735|42|14|54|31|0
305088000574|85|85|0|85|355|1,58163|69|6|26|33|35
105113000071|89|89|0|89|288|1,73469|57|19|58|14|9
105088002829|130|130|0|125|348|1,78571|60|3|30|45|22
205250000597|37|37|0|37|293|1,37755|47|14|62|22|3
205212000061|82|82|0|80|280|0|61|31|43|21|5
205250001739|144|144|0|144|261|1,27551|44|33|59|7|1
305266020088|8|8|0|8|368|0|75|0|38|25|38
305212000031|68|68|0|68|354|1,73469|60|0|32|32|35
305250001971|14|14|0|14|320|5,10204|74|21|14|50|14
105266000061|81|81|0|79|320|1,78571|73|14|37|30|19
105284000575|54|54|1|54|335|1,9898|55|7|26|52|15
105234000531|171|171|0|170|288|0,86735|56|19|54|22|5
105284000800|60|60|0|60|298|2,29592|48|12|62|20|7
205284000162|22|22|0|22|275|1,22449|44|32|46|23|0
305237000299|31|31|0|29|336|2,14286|66|7|38|24|31
105206000186|66|66|0|66|326|1,32653|49|3|42|42|12
405282000873|1|1|0|1|328||0|0|0|100|0
205425000111|37|37|0|37|309|3,57143|63|14|43|38|5
205425000188|4|4|0|4|289|0|47|25|50|25|0
305001014124|26|26|0|22|358|2,80612|68|5|32|18|46
105360000318|113|113|0|113|310|1,63265|65|16|38|33|13
105360000431|91|91|0|87|316|2,44898|65|10|46|28|16
305380019511|19|19|0|19|345|2,55102|36|0|26|58|16
105360001055|177|177|0|174|295|0,71429|56|14|55|24|7
405380000288|38|38|0|38|334|2,39796|66|5|40|26|29
405380000377|15|15|0|15|365|0|79|7|27|13|53
105360002299|155|155|0|152|291|0,76531|56|20|51|22|7
205440000160|36|36|0|36|315|4,23469|54|6|58|22|14
205440000330|34|34|0|34|308|2,39796|61|15|44|29|12
205495000053|58|58|0|58|268|1,37755|44|33|55|12|0
205480000341|79|79|2|76|287|1,68367|58|25|40|29|7
205480000588|124|124|1|124|276|0|55|25|55|15|5
205495001106|6|6|1|6|270|0|32|17|67|17|0
205607000175|58|58|0|54|304|2,09184|46|6|59|32|4
405631000401|19|19|0|19|347|0|60|0|42|21|37
105483000347|77|77|0|77|317|1,47959|59|9|43|36|12
105490000026|130|130|0|130|287|0,40816|56|22|49|25|4
205490000331|40|40|0|40|272|2,09184|53|30|58|8|5
105579000909|84|84|0|84|316|0,96939|59|10|45|36|10
105809000016|70|70|0|70|300|2,85714|66|17|47|24|11
405697000551|13|13|0|13|340|0|52|8|15|62|15
105679000485|85|85|0|85|289|1,32653|58|22|52|18|8
105837000153|105|105|0|105|282|0,5102|56|23|51|23|4
205736000556|25|25|0|25|293|0|54|16|56|24|4
305664000216|56|56|0|56|338|1,37755|61|5|32|39|23
105665000024|189|189|0|188|291|0,86735|50|17|56|23|4
105686000440|106|106|0|105|334|0|69|9|31|33|27
205761000218|20|20|0|20|285|0|48|25|45|30|0
205665001301|39|39|0|39|271|4,7449|47|31|46|23|0
105670000415|79|79|0|79|315|1,17347|69|15|38|30|17
105670000938|103|103|0|103|325|1,47959|59|10|35|36|19
305895001185|16|16|0|16|269|3,31633|55|38|38|25|0
108001000123|111|111|0|111|330|0,76531|61|7|41|31|22
405837002257|31|31|0|31|249|0|37|48|42|10|0
305887001788|29|29|0|29|337|2,09184|61|7|31|35|28
108001000433|41|41|0|41|286|1,42857|60|27|46|22|5
205890000003|48|48|0|48|274|3,21429|48|29|50|19|2
108001001961|112|112|0|112|297|1,93878|65|21|47|20|12
205890000305|17|17|0|17|295|6,32653|56|18|53|24|6
205837001821|45|45|1|45|280|1,58163|53|31|42|24|2
105893001685|161|161|1|161|282|1,07143|49|19|63|16|3
108001002185|70|70|0|70|325|0|59|7|44|34|14
205854000048|22|22|0|22|296|1,42857|32|0|73|27|0
205858000093|109|109|0|109|292|1,12245|45|13|57|28|3
205837005524|84|84|0|84|266|1,32653|37|23|69|8|0
108001003190|148|148|1|148|358|0,86735|55|2|21|43|35
108001003297|54|54|0|54|325|0|52|6|39|44|11
108001005516|30|30|0|30|291|1,83673|55|17|60|17|7
108001005567|141|141|0|141|286|1,07143|52|19|55|21|5
308001000297|61|61|0|61|366|1,83673|67|3|20|34|43
108001003424|21|21|0|21|309|4,33673|67|10|52|29|10
108001002657|69|69|0|69|331|1,73469|56|3|41|38|19
108001009261|136|136|0|136|308|0,91837|57|13|43|35|9
108001002886|37|37|0|37|293|1,37755|51|16|60|19|5
108001002924|73|73|0|72|342|0,81633|58|7|28|38|28
108001010391|70|70|0|70|280|0,71429|52|27|50|20|3
108001003009|66|66|0|66|308|0|62|15|44|35|6
108001078611|44|44|1|44|256|2,60204|44|43|46|11|0
108001003998|137|137|0|137|317|0,61224|60|8|46|35|11
108001013811|73|73|0|73|311|0|60|10|51|26|14
108001078793|108|108|1|104|329|0,86735|66|9|36|36|20
108001003068|119|119|1|119|325|0,91837|51|3|44|42|11
108001003076|177|177|0|177|276|0|53|30|46|22|2
308001018650|10|10|0|10|382|0|30|0|0|50|50
308001011701|9|9|1|9|406|0|66|0|0|44|56
308001019290|5|5|0|5|358|0|68|0|20|60|20
308001000394|14|14|1|14|288|0|39|14|50|36|0
308001004951|30|30|0|26|368|0|46|0|15|54|31
308001019443|13|13|0|13|282|0|44|23|54|23|0
308001013275|29|29|1|2|281|0|117|50|0|50|0
308001013682|20|20|0|20|352|2,34694|48|0|25|50|25
308001001455|71|71|0|66|365|0,91837|63|3|21|41|35
308001074029|15|15|0|15|395|0|50|0|0|40|60
308001009201|6|6|0|4|422|0|33|0|0|25|75
308001001692|99|99|0|99|379|0,86735|63|2|15|32|51
308001009928|15|15|0|15|339|0|36|0|20|73|7
308001074321|10|10|0|10|324|0|42|0|50|40|10
308001010861|14|14|0|10|448|2,09184|26|0|0|0|100
308001074355|6|6|0|6|292|0|51|17|67|17|0
308001004209|53|53|0|50|423|0|68|4|2|14|80
308001011302|51|51|0|51|320|1,32653|67|10|37|35|18
308001075769|20|20|0|19|305|0|57|11|47|37|5
108560000303|100|100|0|100|259|1,22449|44|27|64|8|1
308433000701|75|75|0|75|392|0,86735|60|1|8|39|52
308433000719|26|26|1|26|305|2,5|48|12|54|31|4
108421000234|116|116|1|115|266|1,12245|49|24|64|10|2
108573000051|106|106|0|101|260|1,12245|46|33|56|10|1
208573000072|39|39|0|39|292|6,37755|57|21|46|31|3
308433001341|13|13|0|13|350|0|39|0|15|69|15
208137000016|47|47|1|47|293|1,9898|48|11|60|26|4
308433075727|43|43|1|39|309|6,93878|61|13|36|44|8
308433075867|22|22|0|21|397|0|48|0|10|19|71
308001078041|11|11|0|11|320|5,05102|58|9|27|55|9
308001078261|74|74|0|74|402|0|61|0|12|22|66
108433001082|72|72|0|64|290|1,53061|60|17|53|23|6
308520000181|2|2|0|2|400|0|75|0|0|50|50
108758000066|159|159|0|158|304|1,07143|62|18|44|27|11
308001076854|17|17|0|16|321|0|42|6|44|50|0
108758000112|104|104|0|104|295|0,71429|56|17|51|27|5
108638000982|120|120|0|120|278|0,61224|51|22|59|16|3
308001101153|63|63|0|63|424|0|49|0|2|16|83
308758001215|37|37|0|37|312|0|76|22|41|16|22
308758001266|2|2|0|2|267|0|27|0|100|0|0
308638000479|23|23|0|23|375|2,19388|51|0|13|52|35
108758002468|5|5|0|5|292|0|73|20|40|40|0
108606000028|116|116|0|116|265|1,17347|50|30|58|11|1
408638000881|39|39|0|39|326|1,78571|50|5|44|41|10
108758003367|102|102|0|102|333|0|52|2|35|49|14
108606000125|131|131|0|131|253|1,12245|40|37|57|5|1
108758004151|107|107|1|96|312|1,12245|57|9|50|27|14
308758002718|4|4|0|4|372|0|65|0|25|50|25
308758002793|115|115|0|115|345|1,12245|61|3|32|41|24
208606000154|24|24|0|24|279|0|62|29|46|21|4
208606000189|19|19|0|19|275|2,09184|40|16|74|5|5
108758078855|126|126|0|126|289|0|55|19|54|22|5
308001014891|8|8|0|8|412|7,2449|46|0|0|38|63
308758002351|40|40|0|39|325|1,47959|59|5|49|31|15
111001010731|152|152|0|152|328|0,81633|60|9|34|40|17
308758076860|15|15|0|15|343|0|53|0|27|47|27
308758076903|26|26|0|26|425|1,93878|52|0|0|27|73
111001010928|187|187|0|180|326|0,96939|60|6|43|35|16
308758004231|10|10|0|10|378|0|82|10|20|0|70
308758004265|21|21|0|21|321|0|46|5|48|38|10
308758004303|38|38|0|38|319|0|68|11|42|29|18
111001000132|232|232|0|232|325|0,96939|56|7|40|38|15
308758004371|29|29|0|29|416|1,02041|30|0|0|14|86
308758077252|5|5|0|4|341|0|63|0|25|50|25
111001000353|73|73|0|73|332|0,91837|68|8|36|32|25
308758003137|16|16|0|16|311|0|80|13|38|31|19
308758077815|6|6|0|6|373|0|46|0|0|67|33
308758078005|79|79|0|79|428|0|49|0|1|17|82
111001002909|471|471|0|469|307|0,45918|57|11|52|28|10
308758076231|16|16|0|16|323|0|42|0|38|63|0
308758078234|8|8|0|8|362|0|37|0|13|63|25
308758078315|10|10|0|10|284|0|51|10|70|20|0
308758003412|6|6|0|6|307|0|59|33|17|50|0
308758076363|21|21|0|21|347|0|49|0|29|48|24
308758076380|11|11|0|11|392|0|31|0|0|36|64
308758078536|7|7|0|7|390|0|67|0|0|71|29
308758078781|4|4|0|4|341|0|41|0|25|75|0
308758076690|39|39|1|39|390|0|51|0|8|33|59
308758003820|26|26|1|26|345|2,34694|62|4|35|27|35
308758076738|44|44|1|44|327|0|45|2|46|46|7
308758002891|83|83|0|83|349|0,66327|54|2|24|48|25
111001013153|214|214|0|214|300|0,91837|54|12|53|29|6
111001013170|223|223|0|222|330|0,86735|58|7|36|40|18
111001015601|173|173|0|166|338|0,86735|57|5|33|44|18
111001019526|129|129|0|129|310|1,53061|69|16|43|25|16
111001020095|97|97|1|97|299|1,53061|62|14|51|25|10
111001013820|104|104|0|104|299|0,71429|49|14|56|27|4
111001014028|56|56|1|56|318|1,37755|56|5|52|30|13
111001016098|91|91|0|90|335|0,96939|51|3|36|41|20
111001016314|78|78|0|78|286|1,47959|66|24|49|17|10
111001024660|153|153|0|152|301|1,17347|56|13|48|31|9
111001018252|96|96|0|96|289|0,61224|58|22|49|22|7
111001013102|309|309|0|308|305|0,56122|56|12|51|31|7
111001014745|40|40|0|40|361|1,78571|52|3|18|43|38
111001018333|138|138|1|138|332|0,76531|60|7|37|36|20
111001098868|59|59|0|59|283|0|49|19|58|22|2
111001086606|92|92|0|92|318|0,96939|64|9|46|29|16
111001098876|122|122|0|122|297|1,17347|65|21|48|21|10
111001034002|42|42|0|41|336|2,5|75|10|32|29|29
111001034045|119|119|0|119|344|1,02041|58|3|31|43|24
111001046957|206|206|0|206|332|0,61224|58|5|37|38|20
111001098931|196|196|0|196|332|0,61224|62|9|32|41|18
111001086835|346|346|0|345|292|0,81633|59|17|51|25|8
111001030830|168|168|0|168|308|0,86735|55|9|51|28|12
111001041599|66|66|0|65|312|1,27551|62|11|42|40|8
111001030856|28|28|0|28|311|3,26531|44|0|57|39|4
111001044385|148|148|0|147|323|1,47959|63|7|42|34|17
111001032450|173|173|1|172|314|0,81633|59|9|43|35|13
111001100030|126|126|0|126|319|0,45918|60|9|43|32|17
111001104281|312|312|0|312|326|0,61224|61|7|40|36|17
