COD_DANE|EVALUADOS|PARTICIPANTES|COPIA|PESO|PROMEDIO|ERROR_ESTANDAR|DESVIACION|INSUFICIENTE|MINIMO|SATISFACTORIO|AVANZADO
105001000931|169|169|0|169|293|0|55|41|37|15|7
105001000396|108|108|0|108|288|1,68367|61|45|38|9|7
105001001155|127|127|1|124|282|0|62|53|27|13|7
105001001236|176|176|0|175|258|1,02041|45|74|19|7|1
105001001279|118|118|0|118|284|0,61224|53|44|39|14|3
105001001317|91|91|0|91|305|0,61224|55|33|42|15|10
105001001368|22|22|1|22|306|5,15306|49|27|41|32|0
105001002038|132|132|0|132|265|1,53061|58|63|27|5|6
105001002496|57|57|0|56|331|1,47959|60|21|32|25|21
105001005291|101|101|0|101|286|2,14286|67|55|21|15|9
105001003123|39|39|1|38|291|0|62|47|26|18|8
105001003425|168|168|0|168|278|0,5102|49|54|32|12|2
105001006718|212|212|0|211|287|0,71429|54|45|41|10|5
105001007188|131|131|0|128|294|1,07143|55|40|41|13|6
105001007218|205|205|0|199|266|0,76531|49|62|30|7|2
105001010111|97|97|0|97|284|2,2449|64|55|25|13|7
105001010855|73|73|0|73|263|2,60204|67|67|21|4|8
105001010928|61|61|0|60|300|2,85714|65|42|25|20|13
105001011070|211|211|1|211|268|1,93878|57|60|27|10|4
105001013072|134|134|1|133|289|0,61224|57|41|38|16|5
105001013439|68|68|0|68|283|2,29592|58|53|28|13|6
105001013633|73|73|0|45|265|2,19388|60|67|20|9|4
105001015148|63|63|0|63|266|1,93878|63|67|19|8|6
105001017876|56|56|0|29|251|2,85714|40|79|14|7|0
105001019011|92|92|0|92|238|1,47959|48|80|17|2|0
105001019143|86|86|0|86|268|1,12245|50|63|26|11|1
105001019305|36|36|1|36|265|3,26531|42|69|22|8|0
105001025771|188|188|1|188|257|1,07143|53|68|26|5|2
205001001966|28|28|1|28|317|0|70|29|25|32|14
205001002768|27|27|0|26|263|4,4898|54|69|19|8|4
205001006232|114|114|0|114|257|1,32653|52|73|20|4|4
205001001389|34|34|0|34|303|3,26531|70|41|24|21|15
105001026662|69|69|0|67|246|1,58163|43|76|22|2|0
205001009916|35|35|0|33|279|1,88776|48|49|39|9|3
205001019989|98|98|0|98|279|1,68367|65|57|26|10|7
305001025860|3|3|0|3|369|0|37|0|0|67|33
305001025894|4|4|0|4|257|0|65|75|0|25|0
305001026041|2|2|0|2|408|0|172|0|50|0|50
305001004943|63|63|0|63|340|1,37755|63|16|32|30|22
105002000047|92|92|0|91|298|1,22449|59|42|31|21|7
305001004994|32|32|0|32|315|2,29592|54|28|25|41|6
305001003599|86|86|0|86|354|0,81633|72|14|26|23|37
305001005125|13|13|0|13|261|4,79592|47|69|23|8|0
305001005176|56|56|0|56|365|0|69|7|21|32|39
305001022135|64|64|1|59|360|5,5102|70|19|9|34|39
305001005567|131|131|0|131|382|0,91837|72|7|24|20|50
305001022496|15|15|0|15|432|0|62|0|7|13|80
305001003963|263|263|0|263|338|0,56122|74|21|28|23|27
305001006458|21|21|0|21|263|0|51|57|38|5|0
305001004200|105|105|0|105|385|0|81|10|22|17|51
305001004218|71|71|0|71|301|0,81633|59|37|34|23|7
305001007306|26|26|0|26|335|2,19388|58|8|46|19|27
305001018022|51|51|0|51|252|3,77551|49|73|26|2|0
305001024419|26|26|0|26|252|0|56|69|19|12|0
305001018898|4|4|0|3|394|0|38|0|0|33|67
305001010358|24|24|0|24|331|0|56|21|25|38|17
305045000635|64|64|0|64|343|1,68367|64|17|30|28|25
305045000899|45|45|0|45|287|2,85714|60|36|47|13|4
305001003505|18|18|0|18|341|3,92857|72|17|33|28|22
205086000092|29|29|0|26|329|0|47|12|42|42|4
105051000028|140|140|0|140|293|1,07143|63|43|34|14|9
105088000338|180|180|0|174|251|0,91837|40|79|20|1|0
305042000707|17|17|0|17|338|9,64286|91|24|29|24|24
205051001339|47|47|1|46|268|0|49|54|35|11|0
205051001959|83|83|1|82|266|0,96939|45|65|28|6|1
205031000191|50|50|0|46|304|0,71429|59|35|33|22|11
105088000532|102|102|1|102|296|1,73469|61|46|30|14|10
105034000278|81|81|0|79|309|3,41837|66|32|37|19|13
105045000601|88|88|0|82|296|2,55102|69|35|42|12|11
205059000072|14|14|0|14|263|0|35|64|36|0|0
205034000329|44|44|0|44|298|2,95918|68|46|25|21|9
205045000134|173|173|0|173|271|1,32653|56|61|26|9|4
105088001512|179|179|1|179|289|0,71429|54|41|40|16|3
205045000665|23|23|0|23|255|3,97959|59|83|9|0|9
305079000901|11|11|0|11|372|0|72|9|9|55|27
105154002451|197|197|1|197|277|0|56|52|32|12|4
105120000345|214|214|0|214|275|1,02041|57|57|30|10|3
205154000225|26|26|0|26|268|0|46|65|27|8|0
205120000315|31|31|0|31|284|4,28571|56|48|42|3|7
105147000045|187|187|1|186|301|3,16327|65|39|29|21|11
205120000986|60|60|0|60|302|0|89|45|23|15|17
205154002015|164|164|1|164|305|0,86735|56|37|32|21|10
305088002950|148|148|1|148|276|0,61224|58|53|35|7|5
205147000112|63|63|0|63|266|1,37755|52|62|30|5|3
105088002829|130|130|0|125|308|1,53061|52|27|39|28|6
305088020551|76|76|0|76|307|2,90816|66|28|49|11|13
205147000643|22|22|0|21|252|2,85714|55|67|29|5|0
105129000208|134|134|0|133|299|1,02041|63|33|42|14|11
105129000534|191|191|0|183|324|0,5102|66|24|35|23|18
