MUNI_ID|MUNI_NOMBRE|DEPA_NOMBRE|PUNTAJE_PROMEDIO|ERRORESTANDARPROMEDIO|DESVIACION|PORCENTAJE_INSUFICIENTE|PORCENTAJE_MINIMO|PORCENTAJE_SATISFACTORIO|PORCENTAJE_AVANZADO|N
05002|Abejorral|Antioquia|319|0,612|60|8|42|35|15|329
54003|Abrego|Norte De Santander|313|0,459|54|11|46|33|11|612
05004|Abriaquí|Antioquia|349|3,214|55|3|21|53|24|34
50006|Acacías|Meta|327|0,357|59|8|39|36|18|1430
27006|Acandí|Chocó|279|1,122|51|24|53|19|3|271
41006|Acevedo|Huila|307|0,408|54|10|51|29|10|735
13006|Achí|Bolívar|280|0,816|51|23|54|20|3|465
41013|Agrado|Huila|303|1,786|56|17|47|28|9|187
25001|Agua de Dios|Cundinamarca|318|1,224|67|14|42|23|20|147
20011|Aguachica|Cesar|301|0,357|55|16|49|26|10|1899
68013|Aguada|Santander|348|2,296|46|0|30|61|9|23
17013|Aguadas|Caldas|329|0,918|57|7|36|41|16|287
85010|Aguazul|Casanare|316|0,459|63|12|43|29|16|693
20013|Agustín Codazzi|Cesar|297|0,408|54|15|52|24|9|1185
41016|Aipe|Huila|292|0,051|49|16|51|30|2|324
18029|Albania|Caquetá|296|0,561|48|11|56|31|2|98
44035|Albania|La Guajira|268|0,561|47|30|57|12|2|499
68020|Albania|Santander|319|0|58|7|40|38|16|45
25019|Albán|Cundinamarca|305|2,245|57|13|42|31|13|67
52019|Albán|Nariño|325|1,02|47|8|41|36|16|128
76020|Alcalá|Valle Del Cauca|289|1,224|59|20|52|21|7|171
52022|Aldana|Nariño|308|0,255|49|9|54|30|7|150
05021|Alejandría|Antioquia|320|0,969|61|10|44|26|21|73
47030|Algarrobo|Magdalena|289|1,02|50|16|56|25|3|344
41020|Algeciras|Huila|312|0,765|55|10|44|35|11|466
19022|Almaguer|Cauca|303|0,714|50|11|50|31|8|248
15022|Almeida|Boyacá|360|0|69|4|25|33|38|24
