MUNI_ID|MUNI_NOMBRE|DEPA_NOMBRE|PUNTAJE_PROMEDIO|ERRORESTANDARPROMEDIO|DESVIACION|PORCENTAJE_INSUFICIENTE|PORCENTAJE_MINIMO|PORCENTAJE_SATISFACTORIO|PORCENTAJE_AVANZADO|N
00000|Todos los municipios|Todos los municipios|305.0|0.872|54.0|14.0|47.0|29.0|11.0|752691
5002|Abejorral|Antioquia|319.0|0.612|60.0|8.0|42.0|35.0|15.0|329
54003|Abrego|Norte De Santander|313.0|0.459|54.0|11.0|46.0|33.0|11.0|612
5004|Abriaquí|Antioquia|349.0|3.214|55.0|3.0|21.0|53.0|24.0|34
50006|Acacías|Meta|327.0|0.357|59.0|8.0|39.0|36.0|18.0|1430
27006|Acandí|Chocó|279.0|1.122|51.0|24.0|53.0|19.0|3.0|271
41006|Acevedo|Huila|307.0|0.408|54.0|10.0|51.0|29.0|10.0|735
13006|Achí|Bolívar|280.0|0.816|51.0|23.0|54.0|20.0|3.0|465
41013|Agrado|Huila|303.0|1.786|56.0|17.0|47.0|28.0|9.0|187
25001|Agua de Dios|Cundinamarca|318.0|1.224|67.0|14.0|42.0|23.0|20.0|147
20011|Aguachica|Cesar|301.0|0.357|55.0|16.0|49.0|26.0|10.0|1899
68013|Aguada|Santander|348.0|2.296|46.0|0.0|30.0|61.0|9.0|23
17013|Aguadas|Caldas|329.0|0.918|57.0|7.0|36.0|41.0|16.0|287
85010|Aguazul|Casanare|316.0|0.459|63.0|12.0|43.0|29.0|16.0|693
20013|Agustín Codazzi|Cesar|297.0|0.408|54.0|15.0|52.0|24.0|9.0|1185
41016|Aipe|Huila|292.0|0.051|49.0|16.0|51.0|30.0|2.0|324
18029|Albania|Caquetá|296.0|0.561|48.0|11.0|56.0|31.0|2.0|98
44035|Albania|La Guajira|268.0|0.561|47.0|30.0|57.0|12.0|2.0|499
68020|Albania|Santander|319.0|0.0|58.0|7.0|40.0|38.0|16.0|45
25019|Albán|Cundinamarca|305.0|2.245|57.0|13.0|42.0|31.0|13.0|67
52019|Albán|Nariño|325.0|1.02|47.0|8.0|41.0|36.0|16.0|128
76020|Alcalá|Valle Del Cauca|289.0|1.224|59.0|20.0|52.0|21.0|7.0|171
52022|Aldana|Nariño|308.0|0.255|49.0|9.0|54.0|30.0|7.0|150
5021|Alejandría|Antioquia|320.0|0.969|61.0|10.0|44.0|26.0|21.0|73
47030|Algarrobo|Magdalena|289.0|1.02|50.0|16.0|56.0|25.0|3.0|344
41020|Algeciras|Huila|312.0|0.765|55.0|10.0|44.0|35.0|11.0|466
19022|Almaguer|Cauca|303.0|0.714|50.0|11.0|50.0|31.0|8.0|248
15022|Almeida|Boyacá|360.0|0.0|69.0|4.0|25.0|33.0|38.0|24
73024|Alpujarra|Tolima|340.0|0.0|51.0|2.0|31.0|47.0|21.0|58
41026|Altamira|Huila|290.0|1.48|59.0|18.0|52.0|26.0|5.0|62
27025|Alto Baudó|Chocó|250.0|1.02|38.0|43.0|50.0|7.0|1.0|291
13030|Altos del Rosario|Bolívar|265.0|1.071|42.0|27.0|63.0|9.0|2.0|201
73026|Alvarado|Tolima|310.0|0.561|54.0|8.0|54.0|30.0|9.0|138
5030|Amagá|Antioquia|310.0|0.816|59.0|11.0|45.0|32.0|12.0|376
5031|Amalfi|Antioquia|304.0|0.816|54.0|12.0|52.0|29.0|8.0|443
73030|Ambalema|Tolima|284.0|1.327|58.0|22.0|55.0|15.0|8.0|91
25035|Anapoima|Cundinamarca|305.0|0.867|54.0|14.0|49.0|27.0|11.0|219
52036|Ancuyá|Nariño|326.0|1.173|47.0|3.0|44.0|38.0|15.0|72
76036|Andalucía|Valle Del Cauca|298.0|1.02|58.0|19.0|47.0|25.0|9.0|234
5034|Andes|Antioquia|313.0|0.561|54.0|9.0|46.0|34.0|11.0|657
5036|Angelópolis|Antioquia|300.0|0.765|54.0|19.0|42.0|33.0|7.0|91
