MUNI_ID|MUNI_NOMBRE|DEPA_NOMBRE|PUNTAJE_PROMEDIO|ERRORESTANDARPROMEDIO|DESVIACION|PORCENTAJE_INSUFICIENTE|PORCENTAJE_MINIMO|PORCENTAJE_SATISFACTORIO|PORCENTAJE_AVANZADO|N
05002|Abejorral|Antioquia|317|0,612|64|31|29|23|18|332
54003|Abrego|Norte De Santander|310|0,51|67|33|31|20|16|612
05004|Abriaquí|Antioquia|328|2,959|55|18|41|21|21|34
50006|Acacías|Meta|317|0,408|62|30|34|20|16|1421
27006|Acandí|Chocó|270|1,122|52|63|25|9|3|267
41006|Acevedo|Huila|303|0,408|56|36|37|18|10|727
13006|Achí|Bolívar|275|0,867|58|55|30|9|6|465
41013|Agrado|Huila|285|2,194|52|50|35|10|5|187
25001|Agua de Dios|Cundinamarca|314|1,684|69|33|30|18|20|147
20011|Aguachica|Cesar|286|0,357|57|51|28|13|8|1917
68013|Aguada|Santander|338|2,5|47|9|39|35|17|23
17013|Aguadas|Caldas|322|0,867|60|28|33|20|19|287
85010|Aguazul|Casanare|313|0,51|66|35|33|16|16|693
20013|Agustín Codazzi|Cesar|280|0,408|57|57|24|11|8|1183
41016|Aipe|Huila|279|0,408|49|51|36|11|3|324
18029|Albania|Caquetá|288|0,816|62|44|37|11|8|98
44035|Albania|La Guajira|255|0,663|46|72|21|7|1|499
68020|Albania|Santander|328|0|58|18|42|16|24|45
25019|Albán|Cundinamarca|300|1,837|55|31|43|15|10|67
52019|Albán|Nariño|320|1,122|55|23|38|21|18|128
76020|Alcalá|Valle Del Cauca|263|0,867|55|70|21|6|3|171
52022|Aldana|Nariño|299|0,51|55|40|33|18|9|150
05021|Alejandría|Antioquia|304|0,918|52|37|34|21|8|73
47030|Algarrobo|Magdalena|281|1,071|58|51|31|13|5|344
41020|Algeciras|Huila|309|0,765|60|32|34|23|10|466
19022|Almaguer|Cauca|314|0,816|57|33|36|14|17|248
15022|Almeida|Boyacá|337|0|91|33|17|25|25|24
73024|Alpujarra|Tolima|345|0|68|16|24|31|29|58
41026|Altamira|Huila|278|1,633|55|63|24|11|2|62
27025|Alto Baudó|Chocó|233|0,969|40|89|6|4|1|291
13030|Altos del Rosario|Bolívar|251|1,071|43|76|20|3|1|201
73026|Alvarado|Tolima|301|0,561|60|37|35|20|9|138
05030|Amagá|Antioquia|292|0,816|60|46|33|15|7|376
05031|Amalfi|Antioquia|298|0,816|58|42|33|17|8|443
73030|Ambalema|Tolima|284|1,071|60|58|25|11|6|91
25035|Anapoima|Cundinamarca|296|0,867|55|42|35|16|8|219
52036|Ancuyá|Nariño|315|0,918|42|25|44|14|17|72
76036|Andalucía|Valle Del Cauca|289|1,071|61|50|30|12|9|234
05034|Andes|Antioquia|298|0,663|56|38|37|19|7|657
05036|Angelópolis|Antioquia|283|1,122|59|52|30|12|7|91
05038|Angostura|Antioquia|292|0,663|60|51|26|14|9|150
25040|Anolaima|Cundinamarca|315|0,918|68|31|34|16|18|214
05040|Anorí|Antioquia|290|1,071|67|50|26|13|10|326
17042|Anserma|Caldas|308|0,612|57|31|39|22|9|498
76041|Ansermanuevo|Valle Del Cauca|291|1,02|64|45|30|16|9|257
05044|Anza|Antioquia|306|2,755|63|38|35|17|10|92
25394|La Palma|Cundinamarca|288|1,327|62|52|24|16|9|118
20621|La Paz|Cesar|290|0,51|63|48|30|15|7|543
68397|La Paz|Santander|294|0,918|56|46|27|20|7|56
25398|La Peña|Cundinamarca|295|0,357|59|43|31|19|7|86
05390|La Pintada|Antioquia|272|1,02|49|57|33|8|2|150
41396|La Plata|Huila|299|0,255|55|40|36|15|9|1272
54398|La Playa|Norte De Santander|331|1,429|61|26|30|22|23|149
19392|La Sierra|Cauca|298|0,969|57|39|32|16|12|180
63401|La Tebaida|Quindio|295|0,663|59|41|34|16|9|470
52390|La Tola|Nariño|237|1,327|36|85|14|1|0|135
05400|La Unión|Antioquia|300|0,765|63|41|32|18|10|376
52399|La Unión|Nariño|307|0,459|59|37|31|19|13|451
70400|La Unión|Sucre|278|0,969|51|54|29|14|4|263
76400|La Unión|Valle Del Cauca|315|0,765|61|31|35|19|15|460
15403|La Uvita|Boyacá|323|0|75|35|24|19|22|37
19397|La Vega|Cauca|300|1,276|58|39|30|18|13|221
25402|La Vega|Cundinamarca|314|0,357|65|34|27|24|15|271
15401|La Victoria|Boyacá|285|6,276|47|47|40|13|0|15
76403|La Victoria|Valle Del Cauca|294|2,041|53|43|37|9|11|159
66400|La Virginia|Risaralda|289|0,816|59|48|29|17|6|443
54377|Labateca|Norte De Santander|327|1,378|61|25|30|24|22|93
15377|Labranzagrande|Boyacá|292|4,235|66|49|23|17|11|35
68385|Landázuri|Santander|287|0,561|58|50|31|13|7|266
68406|Lebrija|Santander|295|0,459|62|45|29|17|9|754
86573|Leguízamo|Putumayo|276|0,663|51|59|26|12|4|502
52405|Leiva|Nariño|288|1,429|50|52|26|11|11|159
50400|Lejanías|Meta|302|0,612|64|38|30|22|10|181
25407|Lenguazaque|Cundinamarca|305|0|55|37|30|22|11|179
91001|Leticia|Amazonas|266|0,459|52|65|24|7|4|1166
05411|Liborina|Antioquia|286|0,918|58|50|27|15|8|178
52411|Linares|Nariño|325|0,816|56|26|26|27|20|148
27413|Lloró|Chocó|247|1,276|48|79|11|9|1|225
23417|Lorica|Córdoba|284|0,306|56|52|27|13|7|2144
52418|Los Andes|Nariño|312|5,153|65|33|28|19|20|81
23419|Los Córdobas|Córdoba|282|0,459|56|53|31|10|7|365
70418|Los Palmitos|Sucre|281|0,765|57|53|27|13|7|367
54405|Los Patios|Norte De Santander|304|0,306|63|37|32|19|12|1276
68418|Los Santos|Santander|307|0,969|58|36|32|21|11|234
54418|Lourdes|Norte De Santander|349|1,071|58|12|28|38|23|69
08421|Luruaco|Atlántico|256|0,408|49|71|21|6|3|498
73408|Lérida|Tolima|300|0,459|58|39|32|19|11|286
73411|Líbano|Tolima|305|0,408|58|35|37|17|12|694
19418|López|Cauca|251|0,969|51|74|17|6|3|311
15425|Macanal|Boyacá|337|1,48|69|26|20|29|26|66
68425|Macaravita|Santander|364|0|71|14|17|33|36|36
05425|Maceo|Antioquia|302|1,633|51|35|38|17|9|133
25426|Macheta|Cundinamarca|340|0,612|64|14|31|30|25|113
25430|Madrid|Cundinamarca|316|0,255|61|29|35|21|15|1840
13430|Magangué|Bolívar|269|0,255|55|63|24|9|4|2686
52427|Magüi|Nariño|251|0,918|41|82|9|5|3|182
13433|Mahates|Bolívar|258|0,714|53|69|21|7|3|495
44430|Maicao|La Guajira|269|0,255|53|61|25|10|5|3313
70429|Majagual|Sucre|271|0,459|50|62|25|7|6|770
08433|Malambo|Atlántico|301|0,561|56|44|26|15|16|2116
52435|Mallama|Nariño|324|0|52|30|28|22|20|124
08436|Manatí|Atlántico|253|0,714|49|71|24|4|1|330
20443|Manaure|Cesar|281|0,204|54|54|26|16|5|214
44560|Manaure|La Guajira|246|0,663|52|77|17|4|2|1763
17001|Manizales|Caldas|311|0,204|63|35|31|20|15|4539
25436|Manta|Cundinamarca|317|0,867|64|30|28|26|17|47
17433|Manzanares|Caldas|304|1,071|62|36|36|16|13|257
85139|Maní|Casanare|274|0,969|57|59|28|8|5|298
50325|Mapiripán|Meta|267|2,5|51|62|26|9|3|106
13440|Margarita|Bolívar|268|1,02|56|63|24|9|3|182
05440|Marinilla|Antioquia|300|0,357|60|40|30|17|13|979
15442|Maripí|Boyacá|313|0,969|64|31|30|26|13|109
73443|Mariquita|Tolima|304|0,51|57|34|35|21|9|679
17442|Marmato|Caldas|302|1,071|61|35|36|19|10|147
17444|Marquetalia|Caldas|324|0,459|58|26|30|29|16|219
66440|Marsella|Risaralda|286|0,408|57|50|30|16|5|277
17446|Marulanda|Caldas|341|3,01|78|15|52|4|30|27
13442|María la Baja|Bolívar|246|0,357|47|80|16|4|1|1037
68444|Matanza|Santander|316|0,816|62|29|36|21|15|123
05001|Medellín|Antioquia|289|0,102|59|49|28|13|10|31323
25438|Medina|Cundinamarca|306|0,663|66|37|31|21|12|171
27425|Medio Atrato|Chocó|270|0,459|53|61|18|16|5|153
27430|Medio Baudó|Chocó|273|1,48|62|59|24|10|7|199
27450|Medio San Juan|Chocó|272|1,02|54|58|26|12|4|228
73449|Melgar|Tolima|288|0,51|56|51|29|11|10|725
19450|Mercaderes|Cauca|301|0,918|57|38|34|19|9|236
50330|Mesetas|Meta|314|1,939|61|27|36|21|15|151
18460|Milán|Caquetá|286|1,735|52|45|39|13|3|148
15455|Miraflores|Boyacá|341|1,837|71|15|34|25|26|135
95200|Miraflores|Guaviare|286|1,939|52|52|27|13|9|79
19455|Miranda|Cauca|309|0,612|53|35|29|25|12|468
66456|Mistrató|Risaralda|263|0,612|48|67|21|8|4|339
97001|Mitú|Vaupés|254|0,765|47|74|20|4|2|413
86001|Mocoa|Putumayo|301|0,357|61|41|28|19|11|988
68464|Mogotes|Santander|297|0,612|56|35|43|16|6|218
68468|Molagavita|Santander|321|0,102|63|24|37|19|20|86
23464|Momil|Córdoba|274|0,255|54|57|29|11|4|304
13468|Mompós|Bolívar|268|0,459|53|63|23|10|3|902
15464|Mongua|Boyacá|292|1,837|57|46|31|16|7|84
15466|Monguí|Boyacá|311|0,561|66|33|39|14|14|85
15469|Moniquirá|Boyacá|321|0,714|67|28|31|21|19|371
05467|Montebello|Antioquia|298|1,122|60|40|35|16|9|114
13458|Montecristo|Bolívar|253|0,408|47|73|22|3|2|251
