ID_SEDE|CODIGO_DANE_SEDE|JORNADA|EVALUADOS|PARTICIPANTES|COPIA|INSUFICIENTE|MINIMO|SATISFACTORIO|AVANZADO
000005|166001004625|M|118|118|0|12|44|47|15
000007|105368000066|C|44|44|0|7|15|15|5
000011|113001013814|T|68|68|0|10|39|15|4
000014|111001076201|M|54|54|0|8|28|14|4
000018|111001010251|M|136|136|0|19|68|41|8
000019|111001010251|T|137|137|0|9|49|52|27
000023|111001010731|M|95|95|0|8|35|37|15
000024|111001010731|T|57|57|0|6|17|23|11
000035|111001011011|M|217|217|0|12|99|66|40
000036|111001011011|T|201|201|0|23|72|74|32
000045|111001011070|M|67|67|0|2|27|25|13
000046|111001011070|T|43|43|0|3|22|16|2
000056|111001011690|M|70|70|0|0|32|29|9
000057|111001011690|T|65|65|0|3|37|20|5
000060|111001011819|M|215|215|0|9|59|87|60
000066|105837006194|C|80|80|0|20|45|12|3
000072|168276001904|T|141|141|0|19|74|38|10
000076|168298000235|M|26|26|0|1|10|7|8
000084|105411000199|C|36|36|0|7|23|4|2
000089|105001002895|M|44|44|1|7|19|15|3
000097|217013000602|C|6|6|0|1|5|0|0
000098|217433000578|C|5|5|0|1|2|2|0
000116|111001076201|T|48|48|0|4|18|22|4
000117|111001076376|M|102|102|0|1|38|36|27
000118|111001076376|T|101|101|0|10|35|35|21
000120|111001076767|M|136|136|0|6|43|46|41
000121|111001076767|T|138|138|0|3|56|53|26
000122|111001076937|M|136|136|0|11|43|55|26
000123|111001076937|T|142|142|0|16|68|41|17
000125|111001077895|M|102|102|0|9|54|35|4
000126|111001077895|T|105|105|0|17|61|22|5
000127|111001077917|M|66|66|0|8|31|18|9
000128|111001077917|T|53|53|0|6|16|21|7
000129|111001078638|T|48|48|0|7|21|15|5
000132|111001083011|M|144|144|0|6|63|55|18
000133|111001083011|T|105|105|0|14|55|31|0
000141|115693000043|C|22|22|0|2|11|8|1
000144|115723000167|C|10|10|0|0|3|7|0
000151|123672000054|M|33|33|0|6|20|5|2
000152|123672000054|T|44|44|0|17|23|4|0
000160|119212000032|C|38|38|0|5|20|8|5
000164|119318000023|C|56|56|1|9|29|14|4
000165|111001092410|M|137|137|0|22|72|31|11
000174|125572000114|M|32|32|0|2|15|9|6
000182|119022001172|C|7|7|0|1|5|1|0
000187|113468000015|M|108|108|0|15|57|27|9
000191|170702002128|M|88|88|0|16|46|22|4
000192|170708000003|M|99|99|0|24|48|23|4
000193|170708000003|T|41|41|0|8|24|8|1
000194|170708000038|M|36|36|0|13|20|3|0
000195|170708000038|T|22|22|0|5|14|3|0
000197|170708000186|T|26|26|0|11|15|0|0
000198|170708000259|T|14|14|1|2|11|1|0
000199|123182000242|M|41|41|0|2|20|16|3
000201|123189000027|M|39|39|0|4|11|15|9
000208|115550000191|C|10|10|0|1|3|2|4
000214|168770000112|M|19|19|0|1|10|2|6
000230|111001034134|M|36|36|1|0|18|11|7
000231|111001034134|T|50|50|0|2|20|16|12
000233|111001034240|M|115|115|0|15|40|42|9
000247|108001003670|T|96|96|0|5|52|35|4
000253|111001015814|M|68|68|0|6|17|22|11
000254|111001015814|T|54|54|0|3|26|15|9
000257|105001021547|T|84|84|0|5|31|34|14
000260|105002000047|C|33|33|0|3|14|12|4
000261|105002000055|C|39|39|0|5|21|10|1
000264|105004000109|C|15|15|0|0|2|4|3
000265|105021000171|C|46|46|0|4|17|12|13
000268|111769003360|T|155|155|0|14|52|61|25
000282|166001006091|T|29|29|1|3|20|5|1
000287|225885001884|C|5|5|0|0|4|1|0
000288|111001034240|T|98|98|0|14|51|21|6
000289|111001034665|M|36|36|0|4|18|9|3
000309|125183000320|M|115|115|0|0|25|49|39
000329|141001001763|T|29|29|0|1|13|11|4
000334|111001011819|T|229|229|0|16|76|84|53
000337|123555000230|M|67|67|1|15|35|14|3
000338|123555000230|T|38|38|0|6|17|14|1
000340|123555000477|M|33|33|0|8|14|9|2
000341|123555000477|T|22|22|0|7|11|4|0
000347|141524000825|C|6|6|0|1|3|2|0
000349|115001000065|M|172|172|0|20|86|48|13
000359|120011001012|M|50|50|0|14|21|12|3
000360|120011001012|T|29|29|0|6|17|6|0
000364|120011001331|M|115|115|0|22|68|22|2
000365|120011001331|T|54|54|0|6|25|18|5
000372|115753000013|C|54|54|1|10|25|18|1
000375|105837000242|T|83|83|0|24|50|7|2
000394|125718000243|M|19|19|0|0|5|11|3
000412|141551000268|M|32|32|0|2|12|15|3
000425|141885000048|C|35|35|0|3|21|9|2
000429|115176000033|M|65|65|0|12|38|10|5
000430|115176000033|T|23|23|0|5|10|7|1
000443|120001003246|M|85|85|0|9|31|28|17
000444|120001003246|T|62|62|0|8|28|19|7
000452|123417000288|M|55|55|0|7|33|13|2
000453|123417000288|T|29|29|0|4|20|4|1
000458|119450000903|M|23|23|0|4|10|6|3
000466|115097000028|C|9|9|0|0|3|3|3
000467|115097000036|C|30|30|0|2|9|12|7
000473|123001004870|M|37|37|0|8|16|12|1
000475|123001005311|T|116|116|0|17|63|25|11
000482|147245000261|M|196|196|0|56|98|33|9
000483|147245000261|T|18|18|0|5|11|2|0
000490|152203000400|T|13|13|0|2|4|6|1
000492|147053001913|M|19|19|0|2|16|1|0
000507|117001001536|M|70|70|0|2|18|26|24
000508|117001001536|T|75|75|0|7|26|27|15
000519|120013000374|M|36|36|0|3|21|11|1
000520|120013000374|T|29|29|0|6|10|12|1
000532|168572000026|C|13|13|0|2|7|2|2
000533|168572000409|M|96|96|0|8|42|32|12
000549|108001003076|T|31|31|0|15|14|2|0
000554|108001003190|M|92|92|1|2|23|36|31
000561|241503000072|C|24|24|1|8|12|1|1
000562|125873000209|M|148|148|0|0|0|0|1
000568|108758000546|M|142|142|0|10|46|48|38
000569|108758000546|T|144|144|0|6|52|53|33
000573|105154001880|M|1|1|0|0|1|0|0
000576|105172000220|T|126|126|0|28|61|33|4
000577|105172000572|T|98|98|1|11|59|20|6
000583|113442000297|M|32|32|0|11|15|6|0
000586|117001006252|M|63|63|0|1|19|31|12
000593|115790000031|C|55|55|0|5|18|22|6
000605|218001002835|M|20|20|1|1|6|11|2
000606|217013000742|C|6|6|0|1|1|4|0
000607|218029000803|M|10|10|0|1|7|2|0
000609|208560000031|T|41|41|0|5|15|10|11
000612|205887001392|C|25|25|0|1|7|8|9
000613|217541000312|C|7|7|0|0|7|0|0
000638|120013000471|M|75|75|0|17|44|10|4
000639|120013000471|T|33|33|1|0|20|11|2
000641|215806000139|M|4|4|0|2|0|2|0
000644|217662002801|C|29|29|0|3|15|9|2
000646|215776000091|C|6|6|0|1|2|3|0
000653|276001011184|T|27|27|1|2|11|9|5
000699|447798000327|M|9|9|0|2|6|0|1
000704|354001003140|M|30|30|0|3|13|8|6
000719|111001107883|M|118|118|0|13|38|45|22
000720|315572000037|T|60|60|0|3|8|26|23
000726|325386000618|M|69|69|0|2|12|32|23
