ID_SEDE|CODIGO_DANE_SEDE|JORNADA|EVALUADOS|PARTICIPANTES|COPIA|INSUFICIENTE|MINIMO|SATISFACTORIO|AVANZADO
000005|166001004625|M|118|118|0|59|30|19|10
000007|105368000066|C|44|44|0|22|13|2|5
000011|113001013814|T|68|68|0|45|16|4|3
000014|111001076201|M|54|54|1|21|23|8|2
000018|111001010251|M|136|136|0|70|37|20|9
000019|111001010251|T|137|137|0|39|41|29|28
000023|111001010731|M|95|95|0|45|26|17|7
000024|111001010731|T|57|57|0|26|15|9|7
000035|111001011011|M|217|217|0|73|71|41|32
000036|111001011011|T|201|201|0|74|59|39|29
000045|111001011070|M|67|67|0|27|21|11|8
000046|111001011070|T|43|43|0|13|16|6|8
000056|111001011690|M|70|70|0|24|26|9|11
000057|111001011690|T|65|65|0|24|30|9|2
000060|111001011819|M|215|215|0|61|67|57|30
000066|105837006194|C|80|80|0|47|25|5|3
000072|168276001904|T|141|141|1|82|43|8|8
000076|168298000235|M|26|26|0|2|10|8|6
000084|105411000199|C|36|36|0|29|6|0|1
000089|105001002895|M|44|44|0|19|13|10|2
000097|217013000602|C|6|6|0|1|2|2|1
000098|217433000578|C|5|5|0|2|1|2|0
000116|111001076201|T|48|48|0|18|19|9|2
000117|111001076376|M|102|102|0|31|29|30|12
000118|111001076376|T|101|101|0|37|32|14|18
000120|111001076767|M|136|136|0|42|41|31|22
000121|111001076767|T|138|138|0|26|52|28|32
000122|111001076937|M|136|136|0|65|42|24|4
000123|111001076937|T|142|142|0|73|42|17|10
000125|111001077895|M|102|102|1|58|25|15|4
000126|111001077895|T|105|105|1|61|28|13|3
000127|111001077917|M|66|66|0|22|27|13|4
000128|111001077917|T|53|53|0|13|20|10|7
000129|111001078638|T|48|48|1|24|15|7|2
000132|111001083011|M|144|144|0|47|57|27|11
000133|111001083011|T|105|105|0|47|32|19|2
000141|115693000043|C|22|22|0|9|6|4|3
000144|115723000167|C|10|10|0|0|7|3|0
000151|123672000054|M|33|33|0|23|5|4|1
000152|123672000054|T|44|44|0|39|4|0|1
000160|119212000032|C|38|38|0|22|12|1|3
000164|119318000023|C|56|56|1|15|22|14|5
000165|111001092410|M|137|137|0|59|46|20|11
000174|125572000114|M|32|32|0|11|12|4|5
000182|119022001172|C|7|7|0|4|2|1|0
000187|113468000015|M|108|108|0|46|39|18|5
000191|170702002128|M|88|88|0|43|26|11|8
000192|170708000003|M|99|99|0|64|25|7|3
000193|170708000003|T|41|41|0|35|5|0|1
000194|170708000038|M|36|36|0|28|8|0|0
000195|170708000038|T|22|22|0|16|5|1|0
000197|170708000186|T|26|26|1|22|3|1|0
000198|170708000259|T|14|14|0|7|7|0|0
000199|123182000242|M|41|41|0|6|23|8|4
000201|123189000027|M|39|39|0|14|11|8|6
000208|115550000191|C|10|10|0|4|1|3|2
000214|168770000112|M|19|19|0|6|6|3|4
000230|111001034134|M|36|36|1|11|12|9|4
000231|111001034134|T|50|50|0|19|17|13|1
000233|111001034240|M|115|115|1|35|39|18|14
000247|108001003670|T|96|96|0|42|43|9|2
000253|111001015814|M|68|68|0|17|22|13|4
000254|111001015814|T|54|54|0|15|17|13|8
000257|105001021547|T|84|84|0|38|29|10|7
000260|105002000047|C|33|33|0|12|11|7|3
000261|105002000055|C|39|39|0|15|18|3|1
000264|105004000109|C|15|15|0|1|5|1|2
000265|105021000171|C|46|46|0|14|15|13|4
000268|111769003360|T|155|155|0|52|47|34|19
000282|166001006091|T|29|29|1|12|12|4|1
000287|225885001884|C|5|5|0|1|3|0|1
000288|111001034240|T|98|98|0|39|35|12|6
000289|111001034665|M|36|36|0|12|13|5|4
000309|125183000320|M|115|115|0|5|37|30|41
000329|141001001763|T|29|29|0|11|11|3|4
000334|111001011819|T|229|229|0|69|79|56|25
000337|123555000230|M|67|67|1|36|15|11|5
000338|123555000230|T|38|38|0|8|22|7|1
000340|123555000477|M|33|33|0|17|12|3|1
000341|123555000477|T|22|22|0|16|5|1|0
000347|141524000825|C|6|6|0|3|3|0|0
000349|115001000065|M|172|172|0|65|62|26|14
000359|120011001012|M|50|50|1|30|12|7|1
000360|120011001012|T|29|29|1|18|7|3|1
000364|120011001331|M|115|115|0|65|41|6|2
000365|120011001331|T|54|54|0|19|21|10|4
000372|115753000013|C|54|54|1|18|22|7|7
000375|105837000242|T|83|83|0|60|22|0|1
000394|125718000243|M|19|19|0|6|6|3|4
000412|141551000268|M|32|32|0|8|7|15|2
000425|141885000048|C|35|35|0|12|13|7|3
000429|115176000033|M|65|65|0|37|17|8|3
000430|115176000033|T|23|23|0|12|5|5|1
000443|120001003246|M|85|85|0|38|24|12|11
000444|120001003246|T|62|62|0|27|20|10|5
000452|123417000288|M|55|55|0|24|24|7|0
000453|123417000288|T|29|29|0|18|8|2|1
000458|119450000903|M|23|23|1|14|6|2|1
000466|115097000028|C|9|9|0|1|3|2|3
000467|115097000036|C|30|30|0|10|12|6|2
000473|123001004870|M|37|37|0|19|10|7|1
000475|123001005311|T|116|116|0|72|31|8|5
000482|147245000261|M|196|196|0|137|30|14|15
000483|147245000261|T|18|18|0|14|3|1|0
000490|152203000400|T|13|13|0|5|5|2|1
000492|147053001913|M|19|19|0|9|8|2|0
000507|117001001536|M|70|70|0|6|22|23|19
000508|117001001536|T|75|75|0|17|30|21|7
000519|120013000374|M|36|36|0|27|5|4|0
000520|120013000374|T|29|29|1|21|7|1|0
000532|168572000026|C|13|13|0|3|7|1|2
000533|168572000409|M|96|96|0|21|38|22|13
000549|108001003076|T|31|31|0|25|6|0|0
000554|108001003190|M|92|92|1|28|33|25|6
000561|241503000072|C|24|24|1|18|3|1|0
000562|125873000209|M|148|148|1|0|0|1|0
000568|108758000546|M|142|142|0|25|51|40|26
000569|108758000546|T|144|144|0|42|45|25|32
000573|105154001880|M|1|1|0|0|0|0|1
000576|105172000220|T|126|126|0|80|29|12|5
000577|105172000572|T|98|98|1|69|17|8|2
000583|113442000297|M|32|32|0|27|3|2|0
000586|117001006252|M|63|63|0|9|22|23|9
000593|115790000031|C|55|55|0|11|22|10|8
000605|218001002835|M|20|20|0|3|6|10|1
000606|217013000742|C|6|6|0|1|3|2|0
000607|218029000803|M|10|10|0|6|3|0|1
000609|208560000031|T|41|41|1|17|14|2|8
000612|205887001392|C|25|25|0|3|9|7|6
000613|217541000312|C|7|7|0|3|4|0|0
000638|120013000471|M|75|75|0|46|22|6|1
000639|120013000471|T|33|33|0|16|9|8|0
000641|215806000139|M|4|4|0|3|1|0|0
000644|217662002801|C|29|29|0|10|12|4|3
000646|215776000091|C|6|6|0|2|1|3|0
000653|276001011184|T|27|27|0|11|10|4|2
000699|447798000327|M|9|9|0|0|5|2|2
000704|354001003140|M|30|30|0|8|13|6|3
000719|111001107883|M|118|118|0|32|42|29|15
000720|315572000037|T|60|60|0|8|21|14|17
000726|325386000618|M|69|69|0|12|28|19|10
000769|376563000457|M|10|10|0|1|4|3|2
000772|441001002747|M|68|68|0|26|24|12|6
000773|441001002747|T|31|31|0|18|10|2|1
000786|168081000407|M|55|55|0|9|21|15|10
000797|350001001087|M|161|161|0|35|41|33|52
000814|244650000494|M|9|9|0|4|4|1|0
000837|447980003077|M|19|19|1|13|6|0|0
000838|450001001570|M|15|15|0|5|4|3|3
000875|376109010649|M|26|26|1|0|1|0|0
000876|283592003378|M|13|13|0|1|6|3|3
000896|352835006640|T|12|12|0|6|3|2|1
000972|223686000175|M|20|20|0|10|5|3|1
000979|352835004477|M|42|42|0|15|10|12|4
001149|105607000022|C|139|139|0|61|46|21|11
001164|117001000165|M|90|90|1|23|32|29|6
001173|166001002339|M|77|77|0|27|31|9|10
001174|166001002339|T|74|74|0|25|24|15|10
001183|150001000952|M|67|67|1|6|24|24|11
001184|150001000952|T|67|67|1|17|27|15|8
001194|125175000299|M|3|3|0|2|1|0|0
001198|150001001363|T|80|80|0|22|26|18|10
001199|150001001860|M|114|114|0|17|34|34|29
001200|150001001860|T|77|77|0|32|21|13|11
001201|147288000264|M|35|35|0|25|9|1|0
001205|163470000267|M|60|60|0|26|23|8|2
001209|163001002127|M|99|99|0|46|42|9|2
001223|108758000015|M|79|79|0|32|27|15|5
001224|108758000015|T|54|54|0|22|17|10|5
001226|108758000023|M|116|116|0|21|42|27|26
001235|141001001763|M|65|65|0|33|19|8|5
001260|118150000719|T|38|38|0|10|19|6|3
001268|108758000121|T|70|70|1|38|20|7|5
001269|108758000155|T|54|54|0|29|19|5|1
001271|105837003870|M|107|107|0|76|28|3|0
001274|117001004934|M|34|34|0|12|10|6|6
001279|117001006104|T|20|20|0|4|9|4|3
001295|105001001660|T|72|72|0|47|16|3|6
001305|217541001807|C|6|6|0|0|1|2|3
001310|217486000618|M|9|9|0|8|1|0|0
001313|123001007160|T|18|18|0|3|3|2|1
001324|125754002147|T|249|249|1|117|66|48|15
001328|125754002554|T|141|141|0|77|46|14|4
001329|125754003267|M|152|152|0|75|49|19|6
001330|125754003267|T|112|112|0|48|48|14|2
001332|125754003291|M|71|71|0|29|28|9|5
001333|125754003291|T|91|91|0|39|27|18|7
001336|217662000387|C|6|6|0|1|2|2|1
001337|217662000662|C|7|7|0|3|3|1|0
001338|217662000689|C|6|6|0|1|3|0|2
001339|217662000743|C|4|4|0|0|0|1|3
001340|218150000331|M|16|16|1|8|5|2|1
001341|217777000089|C|20|20|0|4|6|4|6
001348|111265000408|M|66|66|0|17|19|13|17
001349|111265000408|T|46|46|0|29|8|5|4
001353|120614000444|C|65|65|0|22|26|9|8
001360|144001001843|T|13|13|0|10|2|0|1
001361|108573000159|M|111|111|1|54|28|18|10
001363|117001006155|M|74|74|0|27|25|11|11
001364|117001006155|T|66|66|0|16|20|15|15
001390|166001006008|M|75|75|0|40|23|7|3
001391|166001006008|T|66|66|0|33|18|9|2
001395|147245001941|M|90|90|1|61|18|9|2
001411|111001092410|T|134|134|0|59|45|23|7
001413|111001093084|M|101|101|0|45|34|18|4
001414|111001094439|M|102|102|0|32|28|24|12
001418|111001096555|M|70|70|0|33|23|7|2
001430|120621000255|M|70|70|0|37|22|9|1
001435|120710000013|M|99|99|1|43|40|10|6
001436|120710000013|T|64|64|0|28|23|9|4
001465|115299000038|C|105|105|0|22|36|26|21
001474|141396000442|T|103|103|0|62|27|9|5
001478|168720000545|C|20|20|0|3|6|9|2
001490|215646000137|C|56|56|0|16|15|16|7
001492|215407000087|M|15|15|0|7|6|1|1
001494|215232000020|M|19|19|0|3|11|2|3
001496|215580000521|C|9|9|0|4|2|2|1
001497|215599000123|C|13|13|0|7|5|1|0
001498|215599000140|C|24|24|0|6|9|5|4
001499|215778000047|C|3|3|0|0|1|2|0
001500|105001003387|T|33|33|0|23|7|3|0
001502|111001086835|M|75|75|0|40|24|6|5
001503|111001086835|T|69|69|0|27|30|10|2
001520|215244000131|C|8|8|0|3|3|1|1
001530|213244000944|M|7|7|0|3|4|0|0
001531|213244001070|M|13|13|0|3|3|2|5
001532|215804000069|C|4|4|0|0|2|2|0
001536|170001003855|M|54|54|0|47|5|1|0
001564|154001009211|M|34|34|0|22|9|2|1
001566|154001000788|T|65|65|0|23|23|10|9
001571|154001001610|T|290|290|0|67|84|64|75
001574|168575000329|M|32|32|0|25|5|2|0
001578|168615000262|M|61|61|0|14|22|13|8
001585|166170000159|M|76|76|0|13|35|20|8
001587|141001000899|M|27|27|1|2|12|10|3
001588|141001001321|M|65|65|1|30|17|8|2
001600|111001102091|M|66|66|0|29|19|11|5
001601|111001102091|T|34|34|0|21|10|2|1
001605|120295000185|M|55|55|0|43|10|1|1
001631|120001000638|T|107|107|1|84|19|4|0
001645|125785000100|M|120|120|0|51|42|17|10
001659|168001000550|T|34|34|0|5|14|9|6
001676|147001000315|C|153|153|1|48|59|34|12
001679|115238000698|M|143|143|0|37|48|27|31
001683|111001045705|M|73|73|0|38|23|8|4
001684|111001045705|T|67|67|1|28|31|4|4
001685|111001045730|T|39|39|0|20|11|5|2
001686|111001046299|M|102|102|0|19|26|30|27
001687|111001046299|T|83|83|0|33|32|9|9
001689|111001046485|M|74|74|1|41|23|9|1
001690|111001046485|T|65|65|0|32|20|10|3
001691|111001046591|M|111|111|0|49|33|15|12
