ID_DEPARTAMENTO|DEPARTAMENTO|PUNTAJE_PROMEDIO|ERRORESTANDARPROMEDIO|DESVIACION|PORCENTAJE_INSUFICIENTE|PORCENTAJE_MINIMO|PORCENTAJE_SATISFACTORIO|PORCENTAJE_AVANZADO|N|ZONA
08|Arauca|305|0,204|56|14|47|29|10|5284|Orinoquia
77|Vaupés|272|0,714|47|28|55|14|3|483|Amazonía
152|Nariño|307|0,102|49|14|45|30|11|23061|Andina
147|Magdalena|289|0,102|52|21|51|22|7|25030|Caribe
115|Boyacá|328|0,051|59|8|38|34|20|21507|Andina
120|Cesar|301|0,102|54|16|49|26|10|22741|Andina
154|Norte de Santander|315|0,102|57|11|43|31|14|25466|Andina
168|Santander|325|0,051|59|10|39|33|19|35288|Andina
163|Quindio|317|0,204|59|11|42|31|16|7090|Andina
141|Huila|312|0,102|56|11|46|31|12|20535|Andina
150|Meta|316|0,102|57|11|44|31|15|17849|Amazonía
119|Cauca|298|0,102|51|16|50|26|8|22714|Andina
166|Risaralda|316|0,102|56|11|43|31|15|13508|Andina
108|Atlántico|312|0,051|54|14|43|28|15|38731|Caribe
123|Córdoba|292|0,051|52|19|51|23|7|33618|Caribe
117|Caldas|319|0,102|56|9|43|34|15|12651|Andina
170|Sucre|293|0,102|52|19|50|23|7|16924|Caribe
125|Cundinamarca|326|0,051|58|9|38|34|19|46358|Andina
173|Tolima|308|0,102|55|13|46|29|12|22849|Andina
144|La Guajira|277|0,102|49|27|52|17|5|17187|Caribe
185|Casanare|311|0,153|57|12|46|30|13|7787|Orinoquia
176|Valle del Cauca|313|0,051|56|13|44|29|14|54080|Pacífica
118|Caquetá|298|0,153|52|15|51|27|7|7942|Andina
105|Antioquia|308|0,051|56|14|46|28|13|95500|Andina
113|Bolívar|291|0,051|53|21|50|21|8|37997|Caribe
127|Chocó|277|0,153|48|26|53|17|4|9273|Andina
59|San Andrés|290|0,459|53|21|51|21|8|894|Insular
01|Amazonas|280|0,408|50|24|55|17|5|1560|Amazonía
38|Guainía|272|0,357|46|27|58|14|2|863|Amazonía
39|Guaviare|294|0,357|51|16|54|24|6|1486|Amazonía
53|Putumayo|298|0,153|54|15|52|26|8|6514|Andina
78|Vichada|276|0,408|47|27|53|17|3|1484|Amazonía
